area,gisjoin1950,gisjoin2010
.0276786,G06003700394,G0600370311802
.0127029,G06003700394,G0600370301601
.50141197,G06003700394,G0600370310701
1.04656,G06003700394,G0600370310702
.0095019704,G06003700394,G0600370310800
.987113,G06003700394,G0600370310703
.0026152399,G06003700224,G0600370206031
.00011057,G06003700224,G0600370227010
.52557701,G06003700224,G0600370226002
.51442301,G06003700224,G0600370226001
.000032818702,G06003700269,G0600370532900
.00127805,G06003700269,G0600370532800
.80472898,G06003700269,G0600370239202
.0027256601,G06003700270,G0600370239330
.34620199,G06003700270,G0600370239310
.346973,G06003700270,G0600370239320
.00283647,G06003700270,G0600370239601
.000039680799,G06003700270,G0600370239501
.0373354,G06003700270,G0600370239202
.0361326,G06003700270,G0600370239201
.97671598,G06003700271,G0600370239330
.0018980301,G06003700271,G0600370532900
.0054057399,G06003700271,G0600370239501
.157399,G06003700271,G0600370239202
.000091381298,G06003700272,G0600370239310
.000100148,G06003700272,G0600370239320
.0082841497,G06003700272,G0600370239701
.28494799,G06003700272,G0600370239602
.32235,G06003700272,G0600370239601
.00076749799,G06003700272,G0600370239502
